scene,seed,rep,arm,seconds,cost,target
venice-52,61,2,fine,0.5986525844782591,33535.79952509258,30066.36126838933
venice-52,61,2,fine,0.6611201222985983,30839.622707383252,30066.36126838933
venice-52,61,2,fine,0.72562625259161,29963.302113748785,30066.36126838933
venice-52,61,0,nonlinear8,0.0,426696.9535162182,30066.36126838933
venice-52,61,0,nonlinear8,0.05539569491520524,396817.42818806553,30066.36126838933
venice-52,61,0,nonlinear8,0.06659182021394372,396750.5193817943,30066.36126838933
venice-52,61,0,nonlinear8,0.07757698511704803,396748.37174582295,30066.36126838933
venice-52,61,0,nonlinear8,0.08868440985679626,396748.34266831144,30066.36126838933
venice-52,61,0,nonlinear8,0.09965035505592823,396748.3425255306,30066.36126838933
venice-52,61,0,nonlinear8,0.11066138092428446,396748.34252523945,30066.36126838933
venice-52,61,0,nonlinear8,0.1217591562308371,396748.3425252373,30066.36126838933
venice-52,61,0,nonlinear8,0.13275016099214554,396748.3425252358,30066.36126838933
venice-52,61,0,nonlinear8,0.19623357011005282,102028.12782950386,30066.36126838933
venice-52,61,0,nonlinear8,0.2660916419699788,87885.03603175898,30066.36126838933
venice-52,61,0,nonlinear8,0.32963361078873277,80813.80151113188,30066.36126838933
venice-52,61,0,nonlinear8,0.40280488412827253,74084.52475169988,30066.36126838933
venice-52,61,0,nonlinear8,0.4657259527593851,66603.1033530438,30066.36126838933
venice-52,61,0,nonlinear8,0.5396162969991565,57949.572234888954,30066.36126838933
venice-52,61,0,nonlinear8,0.6024988749995828,48285.38225100871,30066.36126838933
venice-52,61,0,nonlinear8,0.6764659290201962,39330.74934274643,30066.36126838933
venice-52,61,0,nonlinear8,0.7397494078613818,33407.51621642776,30066.36126838933
venice-52,61,0,nonlinear8,0.8136446219868958,30773.318523015758,30066.36126838933
venice-52,61,0,nonlinear8,0.8774349009618163,29938.19767680376,30066.36126838933
venice-52,61,1,nonlinear8,0.0,426696.9535162182,30066.36126838933
venice-52,61,1,nonlinear8,0.05518563510850072,396817.42818806553,30066.36126838933
venice-52,61,1,nonlinear8,0.06639612000435591,396750.5193817943,30066.36126838933
venice-52,61,1,nonlinear8,0.07739115506410599,396748.37174582295,30066.36126838933
venice-52,61,1,nonlinear8,0.08847170975059271,396748.34266831144,30066.36126838933
venice-52,61,1,nonlinear8,0.09945093467831612,396748.3425255306,30066.36126838933
venice-52,61,1,nonlinear8,0.11047664983198047,396748.34252523945,30066.36126838933
venice-52,61,1,nonlinear8,0.121606454718858,396748.3425252373,30066.36126838933
venice-52,61,1,nonlinear8,0.13255645986646414,396748.3425252358,30066.36126838933
venice-52,61,1,nonlinear8,0.19611904956400394,102028.12782950386,30066.36126838933
venice-52,61,1,nonlinear8,0.2660468812100589,87885.03603175898,30066.36126838933
venice-52,61,1,nonlinear8,0.32975883036851883,80813.80151113188,30066.36126838933
venice-52,61,1,nonlinear8,0.4042938444763422,74084.52475169988,30066.36126838933
venice-52,61,1,nonlinear8,0.46759437350556254,66603.1033530438,30066.36126838933
venice-52,61,1,nonlinear8,0.5406142976135015,57949.572234888954,30066.36126838933
venice-52,61,1,nonlinear8,0.603776226285845,48285.38225100871,30066.36126838933
venice-52,61,1,nonlinear8,0.677601189352572,39330.74934274643,30066.36126838933
venice-52,61,1,nonlinear8,0.7413074593059719,33407.51621642776,30066.36126838933
venice-52,61,1,nonlinear8,0.8036857075057924,30773.318523015758,30066.36126838933
venice-52,61,1,nonlinear8,0.8671014863066375,29938.19767680376,30066.36126838933
venice-52,61,2,nonlinear8,0.0,426696.9535162182,30066.36126838933
venice-52,61,2,nonlinear8,0.055361815728247166,396817.42818806553,30066.36126838933
venice-52,61,2,nonlinear8,0.06661581061780453,396750.5193817943,30066.36126838933
venice-52,61,2,nonlinear8,0.07766987569630146,396748.37174582295,30066.36126838933
venice-52,61,2,nonlinear8,0.08874732069671154,396748.34266831144,30066.36126838933
venice-52,61,2,nonlinear8,0.09972732560709119,396748.3425255306,30066.36126838933
venice-52,61,2,nonlinear8,0.11074831057339907,396748.34252523945,30066.36126838933
venice-52,61,2,nonlinear8,0.12180450558662415,396748.3425252373,30066.36126838933
venice-52,61,2,nonlinear8,0.13281806092709303,396748.3425252358,30066.36126838933
venice-52,61,2,nonlinear8,0.19657158013433218,102028.12782950386,30066.36126838933
venice-52,61,2,nonlinear8,0.2665322618559003,87885.03603175898,30066.36126838933
venice-52,61,2,nonlinear8,0.3301037810742855,80813.80151113188,30066.36126838933
venice-52,61,2,nonlinear8,0.40427359472960234,74084.52475169988,30066.36126838933
venice-52,61,2,nonlinear8,0.46683856286108494,66603.1033530438,30066.36126838933
venice-52,61,2,nonlinear8,0.5395863470621407,57949.572234888954,30066.36126838933
venice-52,61,2,nonlinear8,0.6026086159981787,48285.38225100871,30066.36126838933
venice-52,61,2,nonlinear8,0.6762188291177154,39330.74934274643,30066.36126838933
venice-52,61,2,nonlinear8,0.7397291879169643,33407.51621642776,30066.36126838933
venice-52,61,2,nonlinear8,0.8021911070682108,30773.318523015758,30066.36126838933
venice-52,61,2,nonlinear8,0.8636564048938453,29938.19767680376,30066.36126838933
venice-52,61,0,bridge8,0.0,426696.9535162182,30066.36126838933
venice-52,61,0,bridge8,0.04917956283316016,396817.4281880625,30066.36126838933
venice-52,61,0,bridge8,0.053714605048298836,396750.5193817904,30066.36126838933
venice-52,61,0,bridge8,0.05822014715522528,396748.3717458176,30066.36126838933
venice-52,61,0,bridge8,0.0627159089781344,396748.3426683058,30066.36126838933
venice-52,61,0,bridge8,0.06722950097173452,396748.3425255236,30066.36126838933
venice-52,61,0,bridge8,0.07172344299033284,396748.34252523293,30066.36126838933
venice-52,61,0,bridge8,0.0762262549251318,396748.34252523095,30066.36126838933
venice-52,61,0,bridge8,0.08068430703133345,396748.34252523,30066.36126838933
venice-52,61,0,bridge8,0.0817191181704402,396748.3425252337,30066.36126838933
venice-52,61,0,bridge8,0.14617850724607706,102028.12782950386,30066.36126838933
venice-52,61,0,bridge8,0.21655576908960938,87885.03603175914,30066.36126838933
venice-52,61,0,bridge8,0.27987605798989534,80813.80151113204,30066.36126838933
venice-52,61,0,bridge8,0.3494808003306389,74084.5247517001,30066.36126838933
venice-52,61,0,bridge8,0.41252528922632337,66603.10335304395,30066.36126838933
venice-52,61,0,bridge8,0.4814544999971986,57949.57223488921,30066.36126838933
venice-52,61,0,bridge8,0.5449719890020788,48285.3822510096,30066.36126838933
venice-52,61,0,bridge8,0.6148310010321438,39330.749342747,30066.36126838933
venice-52,61,0,bridge8,0.6783276102505624,33407.516216428,30066.36126838933
venice-52,61,0,bridge8,0.7572689661756158,30773.318523016118,30066.36126838933
venice-52,61,0,bridge8,0.8212403561919928,29938.197676803982,30066.36126838933
venice-52,61,1,bridge8,0.0,426696.9535162182,30066.36126838933
venice-52,61,1,bridge8,0.0601807776838541,396817.4281880625,30066.36126838933
venice-52,61,1,bridge8,0.06470167962834239,396750.5193817904,30066.36126838933
venice-52,61,1,bridge8,0.0692290817387402,396748.3717458176,30066.36126838933
venice-52,61,1,bridge8,0.07373327389359474,396748.3426683058,30066.36126838933
venice-52,61,1,bridge8,0.07824318576604128,396748.3425255236,30066.36126838933
venice-52,61,1,bridge8,0.08275408763438463,396748.34252523293,30066.36126838933
venice-52,61,1,bridge8,0.0872726496309042,396748.34252523095,30066.36126838933
venice-52,61,1,bridge8,0.09177762176841497,396748.34252523,30066.36126838933
venice-52,61,1,bridge8,0.0928053418174386,396748.3425252337,30066.36126838933
venice-52,61,1,bridge8,0.15778537187725306,102028.12782950386,30066.36126838933
venice-52,61,1,bridge8,0.22831967379897833,87885.03603175914,30066.36126838933
venice-52,61,1,bridge8,0.2914425930939615,80813.80151113204,30066.36126838933
venice-52,61,1,bridge8,0.36105813505128026,74084.5247517001,30066.36126838933
venice-52,61,1,bridge8,0.42443922394886613,66603.10335304395,30066.36126838933
venice-52,61,1,bridge8,0.49331267597153783,57949.57223488921,30066.36126838933
venice-52,61,1,bridge8,0.5568099450320005,48285.3822510096,30066.36126838933
venice-52,61,1,bridge8,0.6267273761332035,39330.749342747,30066.36126838933
venice-52,61,1,bridge8,0.6900480147451162,33407.516216428,30066.36126838933
venice-52,61,1,bridge8,0.7637496287934482,30773.318523016118,30066.36126838933
venice-52,61,1,bridge8,0.8266031378880143,29938.197676803982,30066.36126838933
venice-52,61,2,bridge8,0.0,426696.9535162182,30066.36126838933
venice-52,61,2,bridge8,0.04898081300780177,396817.4281880625,30066.36126838933
venice-52,61,2,bridge8,0.05352289509028196,396750.5193817904,30066.36126838933
venice-52,61,2,bridge8,0.05803796695545316,396748.3717458176,30066.36126838933
venice-52,61,2,bridge8,0.06255212891846895,396748.3426683058,30066.36126838933
venice-52,61,2,bridge8,0.06707909097895026,396748.3425255236,30066.36126838933
venice-52,61,2,bridge8,0.07156005268916488,396748.34252523293,30066.36126838933
venice-52,61,2,bridge8,0.07606854476034641,396748.34252523095,30066.36126838933
venice-52,61,2,bridge8,0.08053831709548831,396748.34252523,30066.36126838933
venice-52,61,2,bridge8,0.08156086690723896,396748.3425252337,30066.36126838933
venice-52,61,2,bridge8,0.14608043665066361,102028.12782950386,30066.36126838933
venice-52,61,2,bridge8,0.21658360864967108,87885.03603175914,30066.36126838933
venice-52,61,2,bridge8,0.2792771775275469,80813.80151113204,30066.36126838933
venice-52,61,2,bridge8,0.3481292184442282,74084.5247517001,30066.36126838933
venice-52,61,2,bridge8,0.4114077277481556,66603.10335304395,30066.36126838933
venice-52,61,2,bridge8,0.4801706285215914,57949.57223488921,30066.36126838933
venice-52,61,2,bridge8,0.543520197737962,48285.3822510096,30066.36126838933
venice-52,61,2,bridge8,0.6133370897732675,39330.749342747,30066.36126838933
venice-52,61,2,bridge8,0.6768099986948073,33407.516216428,30066.36126838933
venice-52,61,2,bridge8,0.7510419324971735,30773.318523016118,30066.36126838933
venice-52,61,2,bridge8,0.8136487216688693,29938.197676803982,30066.36126838933
venice-52,61,0,selective,0.0,426696.9535162182,30066.36126838933
venice-52,61,0,selective,0.10760770924389362,103156.11116886792,30066.36126838933
venice-52,61,0,selective,0.1779881613329053,88792.80856879886,30066.36126838933
venice-52,61,0,selective,0.24193178117275238,81895.85555212351,30066.36126838933
venice-52,61,0,selective,0.3165412852540612,75154.5453354054,30066.36126838933
venice-52,61,0,selective,0.3793858541175723,67568.09083773186,30066.36126838933
venice-52,61,0,selective,0.4521311172284186,58720.02647375007,30066.36126838933
venice-52,61,0,selective,0.5165092260576785,48793.06462353478,30066.36126838933
venice-52,61,0,selective,0.5909290304407477,39594.89349782244,30066.36126838933
venice-52,61,0,selective,0.6543488190509379,33535.79952509258,30066.36126838933
venice-52,61,0,selective,0.7232339601032436,30839.622707383252,30066.36126838933
venice-52,61,0,selective,0.786548329051584,29963.302113748785,30066.36126838933
venice-52,61,1,selective,0.0,426696.9535162182,30066.36126838933
venice-52,61,1,selective,0.1076174289919436,103156.11116886792,30066.36126838933
venice-52,61,1,selective,0.17756176134571433,88792.80856879886,30066.36126838933
venice-52,61,1,selective,0.24114148039370775,81895.85555212351,30066.36126838933
venice-52,61,1,selective,0.3150727739557624,75154.5453354054,30066.36126838933
venice-52,61,1,selective,0.37774337315931916,67568.09083773186,30066.36126838933
venice-52,61,1,selective,0.44996741600334644,58720.02647375007,30066.36126838933
venice-52,61,1,selective,0.5139375450089574,48793.06462353478,30066.36126838933
venice-52,61,1,selective,0.5874474192969501,39594.89349782244,30066.36126838933
venice-52,61,1,selective,0.6501953573897481,33535.79952509258,30066.36126838933
