accepted,arm,cap_hit,cheirality_obs,final_cost,handover_outer,handover_reason,hit,hybrid_failures,hybrid_open,hybrid_products,hybrid_seconds,hybrid_sweeps,matvecs,median_reproj_px,native_seconds,outers,process_seconds,rejects,rep,scene,source,stage,stop_reason,target,target_seconds
6,menu_feedback,False,7,359592.5723044425,,,True,0,True,468,0.429982764,6,468,0.654819,0.492382,6,1.3175891968421638,0,3,dubrovnik-88,evidence/small/dubrovnik-88-menu_feedback-3,small,target,362535.1656903924,0.489434702
5,menu_feedback,False,7,361735.7877761148,,,True,0,True,391,0.3539773,5,391,0.656488,0.40665,5,1.0664729438722134,0,4,dubrovnik-88,evidence/small/dubrovnik-88-menu_feedback-4,small,target,362535.1656903924,0.403640823
6,menu_feedback,False,7,359608.2775531777,,,True,0,True,465,0.416391258,6,465,0.654801,0.475557,6,1.0667092138901353,0,5,dubrovnik-88,evidence/small/dubrovnik-88-menu_feedback-5,small,target,362535.1656903924,0.472581814
5,menu_feedback,False,7,362073.4486877927,,,True,0,True,357,0.326206757,5,357,0.655451,0.378552,5,0.966737219132483,0,6,dubrovnik-88,evidence/small/dubrovnik-88-menu_feedback-6,small,target,362535.1656903924,0.37559509
6,menu_feedback,False,51,362143.5610125808,,,True,0,True,398,0.365190777,7,398,0.657546,0.42995,6,1.0166286900639534,1,7,dubrovnik-88,evidence/small/dubrovnik-88-menu_feedback-7,small,target,362535.1656903924,0.427031354
5,menu_feedback,False,7,362123.9327340616,,,True,0,True,356,0.325937198,5,356,0.656982,0.378446,5,0.9667737479321659,0,8,dubrovnik-88,evidence/small/dubrovnik-88-menu_feedback-8,small,target,362535.1656903924,0.37551544
5,menu_feedback,False,7,362276.8433521315,,,True,0,True,352,0.322857788,5,352,0.655442,0.375633,5,0.9667297592386603,0,9,dubrovnik-88,evidence/small/dubrovnik-88-menu_feedback-9,small,target,362535.1656903924,0.372674519
54,shared_center,False,0,364417.0544585425,8,opening_cap,False,0,False,400,0.35299283,8,557,0.661978,0.926117,54,1.51782446494326,1,0,dubrovnik-88,evidence/small/dubrovnik-88-shared_center-0,small,ftol,362535.1656903924,
51,shared_center,False,0,364443.4934530834,8,opening_cap,False,0,False,399,0.354558201,8,545,0.66214,0.967104,51,1.5672180280089378,1,1,dubrovnik-88,evidence/small/dubrovnik-88-shared_center-1,small,ftol,362535.1656903924,
54,shared_center,False,0,364417.3347377099,8,opening_cap,False,0,False,399,0.356018622,8,556,0.661965,0.929975,54,1.518645505886525,1,2,dubrovnik-88,evidence/small/dubrovnik-88-shared_center-2,small,ftol,362535.1656903924,
8,shared_menu,False,13,361444.2818195267,8,opening_cap,True,0,False,295,0.28719356,8,295,0.656842,0.365426,8,0.9662788473069668,0,0,dubrovnik-88,evidence/small/dubrovnik-88-shared_menu-0,small,target,362535.1656903924,0.362433065
8,shared_menu,False,13,361444.6579425755,8,opening_cap,True,0,False,295,0.286636749,8,295,0.656826,0.364929,8,0.966364657972008,0,1,dubrovnik-88,evidence/small/dubrovnik-88-shared_menu-1,small,target,362535.1656903924,0.361977375
8,shared_menu,False,13,361444.4844993768,8,opening_cap,True,0,False,295,0.287237698,8,295,0.656835,0.365464,8,1.0167467729188502,0,2,dubrovnik-88,evidence/small/dubrovnik-88-shared_menu-2,small,target,362535.1656903924,0.362475305
8,champion,False,33,13674.1989767988,,,True,,,,,,79,0.388107,0.038963,8,0.4649867247790098,0,0,ladybug-49,evidence/small/ladybug-49-champion-0,small,target,13713.770267554755,0.038420368
