arm,binary_sha256,cost,endpoint_audit,evidence,hit,host,input_sha256,native_seconds,native_trace_min,rep,scene,source,target,target_seconds,timing_kind,valid
MFREE deep,,2142892.6113713942,collaborator-reported,collaborator CSV,False,Claude,,16.676384,,5,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE deep,,2140046.272554593,collaborator-reported,collaborator CSV,False,Claude,,7.206307,,6,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE deep,,1709467.5380786879,collaborator-reported,collaborator CSV,True,Claude,,14.971012,,7,final-3068,banked/mfree_target3068.csv,1744796.9841897595,14.971012,crossing-time upper bound,True
MFREE deep,,2140009.3505555694,collaborator-reported,collaborator CSV,False,Claude,,11.333578,,8,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE deep,,1708131.5737559372,collaborator-reported,collaborator CSV,True,Claude,,15.573497,,9,final-3068,banked/mfree_target3068.csv,1744796.9841897595,15.573497,crossing-time upper bound,True
MFREE deep,,1710944.7458263782,collaborator-reported,collaborator CSV,True,Claude,,15.710204,,10,final-3068,banked/mfree_target3068.csv,1744796.9841897595,15.710204,crossing-time upper bound,True
Ceres setup control,,2183295.4612201685,local FP64,separate setup screen,False,Codex,,11.473650379,,0,final-3068,ceres_setup/evidence/control-0,1744796.9841897595,,accepted crossing,True
Ceres setup control,,2183295.45927611,local FP64,separate setup screen,False,Codex,,10.544636498,,1,final-3068,ceres_setup/evidence/control-1,1744796.9841897595,,accepted crossing,True
Ceres setup control,,2183295.459157456,local FP64,separate setup screen,False,Codex,,11.272614771,,2,final-3068,ceres_setup/evidence/control-2,1744796.9841897595,,accepted crossing,True
Ceres setup normalize,,1930209.4220680627,local FP64,separate setup screen,False,Codex,,12.114575164,,0,final-3068,ceres_setup/evidence/normalize-0,1744796.9841897595,,accepted crossing,True
Ceres setup strict_stop,,1822280.0951187287,local FP64,separate setup screen,False,Codex,,60.906430225,,0,final-3068,ceres_setup/evidence/strict_stop-0,1744796.9841897595,,accepted crossing,True
