stage,cell,scene,arm,rep,target,score_init,cost,hit,target_seconds,native_seconds,outers,accepts,rejects,pcg_per_outer,retry_fraction_native,max_raw_radius_ratio,negcurv,cap_hit,source
practical,trafalgar-138-1.005,trafalgar-138,forcing_reject,1,103088.39569543337,20163569.015917197,102948.14834849123,True,0.2457,0.261523,13,13,0,36.46153846153846,0.0,2.456209243521311,0,False,evidence/practical/trafalgar-138-1.005-forcing_reject-1
practical,trafalgar-138-1.005,trafalgar-138,off,1,103088.39569543337,20163569.015917197,102905.04543058862,True,0.2953,0.311675,13,13,0,44.84615384615385,0.0,2.063933556785961,0,False,evidence/practical/trafalgar-138-1.005-off-1
practical,trafalgar-138-1.01,trafalgar-138,accurate_reference,1,103601.27328595793,20163569.015917197,103244.18215739273,True,0.2265,0.243084,11,11,0,31.363636363636363,0.0,2.4589063607143937,0,False,evidence/practical/trafalgar-138-1.01-accurate_reference-1
practical,trafalgar-138-1.01,trafalgar-138,forcing_reject,1,103601.27328595793,20163569.015917197,103245.9955720963,True,0.184,0.200222,11,11,0,31.363636363636363,0.0,2.459102081121244,0,False,evidence/practical/trafalgar-138-1.01-forcing_reject-1
practical,trafalgar-138-1.01,trafalgar-138,off,1,103601.27328595793,20163569.015917197,103407.57329705104,True,0.2315,0.247791,10,10,0,45.3,0.0,2.0646432284325664,0,False,evidence/practical/trafalgar-138-1.01-off-1
practical,trafalgar-138-1.02,trafalgar-138,accurate_reference,1,104627.02846700703,20163569.0159172,104382.86871544571,True,0.1528,0.190231,9,9,0,24.0,0.0,2.4564426958998533,0,False,evidence/practical/trafalgar-138-1.02-accurate_reference-1
practical,trafalgar-138-1.02,trafalgar-138,forcing_reject,1,104627.02846700703,20163569.015917193,104399.70398486733,True,0.1242,0.140383,9,9,0,24.0,0.0,2.456543219845335,0,False,evidence/practical/trafalgar-138-1.02-forcing_reject-1
practical,trafalgar-138-1.02,trafalgar-138,off,1,104627.02846700703,20163569.015917197,104518.29673679946,True,0.128,0.149821,8,8,0,28.125,0.0,1.9126959873382252,0,False,evidence/practical/trafalgar-138-1.02-off-1
practical,final-394-1.005,final-394,accurate_reference,1,306349.5931045434,4545737.692797156,306040.98912727274,True,0.363,0.381661,12,12,0,12.75,0.0,3.0817256491761067,0,False,evidence/practical/final-394-1.005-accurate_reference-1
practical,final-394-1.005,final-394,forcing_reject,1,306349.5931045434,4545737.692797157,305812.3499943421,True,0.2567,0.275039,12,12,0,11.166666666666666,0.0,3.118914933223333,0,False,evidence/practical/final-394-1.005-forcing_reject-1
practical,final-394-1.005,final-394,off,1,306349.5931045434,4545737.692797157,305942.1198431021,True,0.245,0.265276,11,11,0,11.272727272727273,0.0,1.0971686268749619,0,False,evidence/practical/final-394-1.005-off-1
practical,final-394-1.01,final-394,accurate_reference,1,307873.7204334218,4545737.692797157,306781.4736077128,True,0.3148,0.333197,10,10,0,12.9,0.0,3.081725664547421,0,False,evidence/practical/final-394-1.01-accurate_reference-1
practical,final-394-1.01,final-394,forcing_reject,1,307873.7204334218,4545737.692797157,306702.8549964545,True,0.2189,0.237263,10,10,0,11.7,0.0,3.118914880776609,0,False,evidence/practical/final-394-1.01-forcing_reject-1
practical,final-394-1.01,final-394,off,1,307873.7204334218,4545737.692797157,306996.7545699799,True,0.1743,0.197593,9,9,0,8.555555555555555,0.0,1.0971686268630825,0,False,evidence/practical/final-394-1.01-off-1
practical,final-394-1.02,final-394,accurate_reference,1,310921.97509117844,4545737.692797157,308991.1082549079,True,0.262,0.280233,9,9,0,9.444444444444445,0.0,3.0615493184593006,0,False,evidence/practical/final-394-1.02-accurate_reference-1
practical,final-394-1.02,final-394,forcing_reject,1,310921.97509117844,4545737.692797156,309301.93555914727,True,0.1653,0.183724,9,9,0,8.0,0.0,3.1189148527965265,0,False,evidence/practical/final-394-1.02-forcing_reject-1
practical,final-394-1.02,final-394,off,1,310921.97509117844,4545737.692797157,309661.2093674711,True,0.1305,0.154021,8,8,0,5.25,0.0,1.0971686268718581,0,False,evidence/practical/final-394-1.02-off-1
